id,name,adm1_code,Poverty,InfantMortality,Stroke,BreastCancer,ProstateCancer,LungCancer,Homicide,Alzheimers
1,Rogers Park,CHI-001,26.9,6.4,33.7,23.3,21.7,36.7,7.7,13.2
2,West Ridge,CHI-002,19.9,5.1,34.7,20.2,14.2,36,5.8,12.7
3,Uptown,CHI-003,25.2,6.5,41.7,21.3,25.2,50.5,5.4,18.1
4,Lincoln Square,CHI-004,12.1,3.8,36.9,21.7,27.6,43.1,5,9.6
5,North Center,CHI-005,6.4,2.7,41.6,16.6,15.1,42.4,1,9.9
6,Lake View,CHI-006,11.7,2.2,24.4,20.1,17,32.5,1.4,14.5
7,Lincoln Park,CHI-007,12.2,2.4,35.3,23.7,27.3,40,0.7,21.2
8,Near North Side,CHI-008,13.5,6.5,22,24,15.1,33.6,3.7,14.1
9,Edison Park,CHI-009,3,4.6,38.9,13.8,28,45.2,0.1,17.3
10,Norwood Park,CHI-010,5.2,4.4,45.2,20.7,26.4,44.5,4.7,10.3
11,Jefferson Park,CHI-011,7,8.3,41.9,18.4,32.1,55.7,4.8,15.3
12,Forest Glen,CHI-012,6.8,3.8,31,25,20.3,27,3.3,8.9
13,North Park,CHI-013,12.5,5.4,26.7,20.4,14.6,34.7,3,5.8
14,Albany Park,CHI-014,21.4,4.9,39.1,22.9,13.1,36.9,4.7,12.8
15,Portage Park,CHI-015,13.6,4.7,37.9,23.3,14.8,44.9,3.3,10.1
16,Irving Park,CHI-016,14.4,5.3,42,29.9,17.9,41.3,4.1,14.2
17,Dunning,CHI-017,9.8,4.9,32,23.7,24.4,53.9,3.7,8.9
18,Montclare,CHI-018,13.3,4.6,40.3,29.9,21.9,33.4,8.6,6.1
19,Belmont Cragin,CHI-019,20.3,5.6,38.2,14.4,27.3,37.8,7,10.2
20,Hermosa,CHI-020,19.9,9.3,27.6,18.4,25.6,27.7,12.7,6.1
21,Avondale,CHI-021,16.9,5.7,36,16.6,37.7,32.5,4.7,14.5
22,Logan Square,CHI-022,20.9,4.3,31.9,9.2,17.5,37.7,8.6,15.2
23,Humboldt Park,CHI-023,34.3,9.8,53.5,26.3,52.5,48,29,15.5
24,West Town,CHI-024,17.1,5.1,33.3,14.5,16.6,27.4,8.5,17.4
25,Austin,CHI-025,30.6,13.3,56.8,33.7,69.8,74.6,34.4,16.8
26,West Garfield Park,CHI-026,43.8,19,77,54.7,75,65.3,40,9.4
27,East Garfield Park,CHI-027,45.4,11,47.5,21.7,78.1,56.3,38.4,13.6
28,Near West Side,CHI-028,25.2,9.1,43.5,33.4,33.6,66.2,12.7,10.3
29,North Lawndale,CHI-029,45.3,14.1,70.2,45.8,54,61.7,46.7,17.8
30,South Lawndale,CHI-030,32.9,5.9,37.3,13.2,32.7,15.9,11.1,7.6
31,Lower West Side,CHI-031,27.3,5.4,39.2,27.2,14.3,27.8,11.7,5.1
32,Loop,CHI-032,14.5,5.7,39,20.2,17.2,29.2,0.7,11.3
33,Near South Side,CHI-033,12.6,4.8,52.4,31.9,51.4,46.2,4.8,19.6
34,Armour Square,CHI-034,37.5,1.5,38.7,10.7,17.2,54.3,1.8,5.2
35,Douglas,CHI-035,32.3,13.4,62.1,34.3,85.5,74.5,13.6,32.9
36,Oakland,CHI-036,40.6,8.2,43.7,20.6,54.2,54.5,18.9,20.8
37,Fuller Park,CHI-037,41.1,22.6,82.4,8.5,70.5,89.6,49.6,11.5
38,Grand Boulevard,CHI-038,30.8,12.1,46.7,22.6,39,63.8,32.1,11.3
39,Kenwood,CHI-039,24.1,8.9,31.5,30.9,46.2,49.1,15.2,7.5
40,Washington Park,CHI-040,44.2,19.3,43.3,26,67,79.8,44.6,11.9
41,Hyde Park,CHI-041,20.7,10.4,26,33.6,24.1,34.9,5.8,16
42,Woodlawn,CHI-042,32.3,11.5,60,32.9,58,69.8,31.1,16.1
43,South Shore,CHI-043,30.9,11.4,53.2,32.4,54.8,70,33.4,17.8
44,Chatham,CHI-044,29.1,10.9,50.3,41.9,47.9,51.5,45.2,16.9
45,Avalon Park,CHI-045,18.8,11.4,44.5,33.8,45.1,57.9,22.1,12.9
46,South Chicago,CHI-046,33.6,17.7,50.6,31.9,56.3,50.9,36.9,12
47,Burnside,CHI-047,47.5,13,99.1,7.6,44,69.5,70.3,5.4
48,Calumet Heights,CHI-048,14,13.9,39.2,33.5,40.4,48,19.5,24.1
49,Roseland,CHI-049,23.3,9.6,55.6,43.5,57.6,70.3,40.9,25.9
50,Pullman,CHI-050,25.2,13.6,65.3,34.6,92.9,83.8,32.2,19.4
51,South Deering,CHI-051,31.7,11.8,54.9,25.3,48.7,59.2,41.3,11.9
52,East Side,CHI-052,24,3.7,33.3,15.3,26.2,45.9,10.7,10.2
53,West Pullman,CHI-053,30,11.9,63.9,20.3,62.9,78.6,43.9,19.7
54,Riverdale,CHI-054,58.3,8.7,80.6,25,42.5,86.1,33,12
55,Hegewisch,CHI-055,18.6,8.4,47.1,20,28.6,57.9,6.9,12.3
56,Garfield Ridge,CHI-056,8.5,4.5,42.2,31,30.9,59.2,9.9,20.6
57,Archer Heights,CHI-057,13.9,5.2,41.8,25.2,20.5,49.6,16.6,12.3
58,Brighton Park,CHI-058,25.6,5.9,38.3,26.8,15.1,27.7,11.1,11.7
59,McKinley Park,CHI-059,20,7.3,51.7,32.7,0,38.3,5.1,17.8
60,Bridgeport,CHI-060,20.3,8,40.1,16.5,15.8,54.4,4.9,11.6
61,New City,CHI-061,32.7,7.9,50.2,23.6,40.7,69.4,26.6,15.5
62,West Elsdon,CHI-062,18,8.1,42.6,12.1,44.7,57.8,5.9,8.5
63,Gage Park,CHI-063,24.3,5.4,51.2,23.4,41.1,34.1,10.8,12.5
64,Clearing,CHI-064,9,6.7,53.5,23.6,18.7,58.6,9.4,15.5
65,West Lawn,CHI-065,17.4,8.4,43.1,16.9,19.7,36.7,10.7,15.4
66,Chicago Lawn,CHI-066,31.3,11.1,61.7,25,22.1,42.9,22.4,16.5
67,West Englewood,CHI-067,39.8,13.3,64.6,39.2,75,66.3,47.2,21
68,Englewood,CHI-068,47.8,13.4,71.6,32.9,57.7,76.8,45.1,15.5
69,Greater Grand Crossing,CHI-069,34.1,14.2,58.2,29.1,70.3,77.5,49.7,18.7
70,Ashburn,CHI-070,12.4,10.2,47.4,37.2,44.5,62.8,12.4,18.5
71,Auburn Gresham,CHI-071,30.1,15.6,63.7,41.9,43.5,65.1,37.6,23.1
72,Beverly,CHI-072,4.5,10,57.2,42,44.7,47.9,3.5,30.2
73,Washington Heights,CHI-073,19.9,11.2,57.6,47.9,56.2,70,38,25.9
74,Mount Greenwood,CHI-074,3,3.3,26.7,34.6,16.9,55,2.2,23.3
75,Morgan Park,CHI-075,15.2,13.1,47.9,32.4,39.8,50,19.9,25.2
76,O'Hare,CHI-076,17.8,2,40.4,20.5,2.8,37.4,5.6,11.5
77,Edgewater,CHI-077,18.6,6.9,31.5,18.5,23.7,40.1,5.8,12.7
